ID,GENENAME
ENSMUST00000000001.4,Gnai3
ENSMUST00000000003.13,Pbsn
ENSMUST00000000010.8,Hoxb9
ENSMUST00000000028.13,Cdc45
ENSMUST00000000033.11,Igf2
ENSMUST00000000049.5,Apoh
ENSMUST00000000058.6,Cav2
ENSMUST00000000080.7,Klf6
ENSMUST00000000087.12,Scmh1
ENSMUST00000000090.7,Cox5a
ENSMUST00000000094.13,Dlgap4
ENSMUST00000000095.6,Tbx2
ENSMUST00000000096.11,Tbx4
ENSMUST00000000109.10,Cntn1
ENSMUST00000000122.6,Ngfr
ENSMUST00000000127.5,Wnt3
ENSMUST00000000128.9,Wnt9a
ENSMUST00000000129.13,Fer
ENSMUST00000000137.7,Actr2
ENSMUST00000000145.11,Acsl6
ENSMUST00000000153.8,Gna12
ENSMUST00000000161.13,Itgb2l
ENSMUST00000000163.12,Igsf5
ENSMUST00000000171.14,Pih1d2
ENSMUST00000000175.5,Sdhd
ENSMUST00000000186.8,Fgf23
ENSMUST00000000187.6,Fgf6
ENSMUST00000000188.11,Ccnd2
ENSMUST00000000193.5,Ccl2
ENSMUST00000000194.3,Ccl12
ENSMUST00000000199.7,Ncs1
ENSMUST00000000201.6,Nalcn
ENSMUST00000000206.3,Btbd17
ENSMUST00000000208.12,Slfn4
ENSMUST00000000219.9,Th
ENSMUST00000000220.2,Ins2
ENSMUST00000000221.5,Scnn1g
ENSMUST00000000228.4,Drp2
ENSMUST00000000253.5,Lhx2
ENSMUST00000000254.13,Clec2g
ENSMUST00000000260.12,Gmpr
ENSMUST00000000266.8,Ifi202b
ENSMUST00000000275.9,Glra3
ENSMUST00000000284.6,Trim25
ENSMUST00000000285.8,Dgke
ENSMUST00000000287.8,Scpep1
ENSMUST00000000291.8,Mnt
ENSMUST00000000299.13,Itgb2
ENSMUST00000000304.13,Hddc2
ENSMUST00000000305.6,Tpd52l1
ENSMUST00000000310.13,Pemt
ENSMUST00000000312.11,Cdh1
ENSMUST00000000314.12,Cdh4
ENSMUST00000000317.12,Ckmt1
ENSMUST00000000326.11,Bcl6b
ENSMUST00000000327.12,Clec10a
ENSMUST00000000329.8,Alox12
ENSMUST00000000335.11,Comt
ENSMUST00000000342.2,Ccl11
ENSMUST00000000348.14,Rtca
ENSMUST00000000349.10,Dbt
ENSMUST00000000356.9,Dazap2
ENSMUST00000000365.2,Mcts1
ENSMUST00000000369.3,Rem1
ENSMUST00000000384.7,Trappc10
ENSMUST00000000388.14,Ccm2
ENSMUST00000000394.13,Tbrg4
ENSMUST00000000395.7,Tmprss2
ENSMUST00000000402.15,Fap
ENSMUST00000000412.2,Egfl6
ENSMUST00000000421.5,Tssk3
ENSMUST00000000430.13,Galnt1
ENSMUST00000000445.1,Myf5
ENSMUST00000000449.8,Mkrn2
ENSMUST00000000450.4,Pparg
ENSMUST00000000451.13,Raf1
ENSMUST00000000466.12,Plin2
ENSMUST00000000476.14,Pdgfra
ENSMUST00000000500.7,Pdgfb
ENSMUST00000000505.15,Mcm7
ENSMUST00000000514.10,Serpinb8
ENSMUST00000000542.13,Acvrl1
ENSMUST00000000543.5,Grasp
ENSMUST00000000544.11,Acvr1b
ENSMUST00000000572.6,Gabra2
ENSMUST00000000573.8,Ovgp1
ENSMUST00000000574.2,Adora3
ENSMUST00000000579.2,Sox9
ENSMUST00000000590.15,Rdx
ENSMUST00000000594.8,C1d
ENSMUST00000000608.7,Gm2a
ENSMUST00000000619.7,Clcn4
ENSMUST00000000631.7,Grm6
