Gene.name,HGNC.symbol
mt-Nd4l,MT-ND4L
mt-Co2,MT-CO2
mt-Nd4,MT-ND4
mt-Nd6,MT-ND6
mt-Atp6,MT-ATP6
mt-Co1,MT-CO1
mt-Cytb,MT-CYB
mt-Atp8,MT-ATP8
mt-Nd1,MT-ND1
mt-Nd3,MT-ND3
mt-Nd2,MT-ND2
mt-Nd5,MT-ND5
mt-Co3,MT-CO3
Tbl1x,TBL1Y
Gm10256,RBMY1E
Gm10256,RBMY1A1
Gm10256,RBMY1J
Gm10256,RBMY1B
Gm10256,RBMY1D
Gm10256,RBMY1F
Uty,UTY
Rimbp3,RIMBP3
Ndufv2,NDUFV2
Pcdh20,PCDH20
Phf11d,PHF11
Tbc1d4,TBC1D4
Proser1,PROSER1
Krtap24-1,KRTAP24-1
Sohlh2,SOHLH2
Sohlh2,CCDC169-SOHLH2
Rwdd2b,RWDD2B
Erich6b,ERICH6B
Tmem50b,TMEM50B
Pcdh11x,PCDH11Y
Pdx1,PDX1
Donson,DONSON
Mtcl1,MTCL1
Ufm1,UFM1
Gm5965,KRTAP13-3
Osbpl1a,OSBPL1A
Angpt4,ANGPT4
Kdm5d,KDM5D
Yes1,YES1
Ccdc122,CCDC122
Flt1,FLT1
Gm4131,C13orf42
Sap18,SAP18
App,APP
Postn,POSTN
Ube2l3,UBE2L5
Chmp1b,CHMP1B
Adcyap1,ADCYAP1
Krtap8-1,KRTAP8-1
Usp9y,USP9Y
Defb23,DEFB129
Uspl1,USPL1
C1qtnf9,C1QTNF9
Sik1,SIK1B
Urah,URAD
Tmsb4x,TMSB4Y
Hsfy2,HSFY2
Hsfy2,HSFY1
Cyyr1,CYYR1
Slc5a3,SLC5A3
Ska3,SKA3
Gpr12,GPR12
Parp4,PARP4
Rab31,RAB31
Cab39l,CAB39L
Usp14,USP14
Klhl1,KLHL1
Mrps6,MRPS6
Kpna3,KPNA3
Pan3,PAN3
Fgf9,FGF9
Fndc3a,FNDC3A
Krtap13-1,KRTAP13-4
Krtap13-1,KRTAP13-1
Krtap15,KRTAP15-1
Gtf3a,GTF3A
Psmg2,PSMG2
Tsc22d1,TSC22D1
U2af1,U2AF1L5
Scaf4,SCAF4
Mphosph8,MPHOSPH8
Cnmd,CNMD
Urb1,URB1
Txndc2,TXNDC2
Pibf1,PIBF1
Pi4ka,PI4KA
Lhfp,LHFPL6
Rnf17,RNF17
Gatd3a,GATD3B
Tmem200c,TMEM200C
Pomp,POMP
Impa2,IMPA2
Lnx2,LNX2
Pik3c3,PIK3C3
Spry2,SPRY2
Sry,SRY
Hmgb1,HMGB1
Mc2r,MC2R
Lacc1,LACC1
Cldn17,CLDN17
Akap11,AKAP11
Ncam2,NCAM2
Hsph1,HSPH1
Klf5,KLF5
Cct8,CCT8
Tmem191c,TMEM191B
Rspo4,RSPO4
Thoc1,THOC1
Bora,BORA
Tmem121b,TMEM121B
Chaf1b,CHAF1B
Scel,SCEL
Gart,GART
Jam2,JAM2
B3glct,B3GLCT
Mzt1,MZT1
Krtap26-1,KRTAP26-1
Serp2,SERP2
Setdb2,SETDB2
Mapre2,MAPRE2
Ddx3y,DDX3Y
Wasf3,WASF3
Mppe1,MPPE1
Ccna1,CCNA1
Iglc2,IGLC2
Ndc80,NDC80
Med15,MED15
Ltn1,LTN1
Slc25a15,SLC25A15
Tgif2lx1,TGIF2LY
Frem2,FREM2
Klhl14,KLHL14
